transaction_info,merchant_name,Category,Predicted_Category
PEP 8768 Bloemfontein   FS          FSZA,GiftCentral Card Issuer (POS),Tourism,Tourism
STEERS EASTRAND MALL    Boksburg    ZAZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
PEP CELL 4553 PTA MAME  GP          GPZA,GiftCentral Card Issuer (POS),Technology,Technology
PEP CELL 4938 KWAMHL    MP          MPZA,GiftCentral Card Issuer (POS),Technology,Technology
Boxer Spr Diepsloot     Diepsloot   GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
ROOTS DIEPKLOOF- UCS_W  SOWETO      GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Shoprite SCF Baragwana  SB018310    GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
KFC KPML Diepkloof      Gauteng     GPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
FF Soweto               GP          GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Dunns Mthatha Circus T  JHB         GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Ackermans Con Pinetown  KZ          KZZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
PEP HOME SESHEGO CIRCL  LP          LPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
PHIRI CAPITAL CC        Halfway HousZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
PnP Fam Eyethu Mall     JohannesburgGPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Boxer Spr Eyethu        Orange Farm GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
PEP 6587 Eyethu Orange  GP          GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
BUILD IT MIDDELBURG      MIDDELBURG  GZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
G C PAINT CENTRE MIDDE  Middelburg  ZAZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Identity 0117           MP          MPZA,GiftCentral Card Issuer (POS),Technology,Technology
PEP 6466 Middelburg     MP          MPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
SuperSpar Wonderpark    Gauteng SoutGSZA,GiftCentral Card Issuer (POS),Tourism,Tourism
AckermansC Selgro C     KN          KZZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
AckermansC Selgro C     KZN         KZZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
TASTE BUDS              Umhlanga RocZAZA,GiftCentral Card Issuer (POS),Healthcare,Healthcare
Spar Riverview          Gauteng SoutGPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
PEP CELL 4327 JABULANI  GP          GPZA,GiftCentral Card Issuer (POS),Technology,Technology
PEP CELL 4477 KRAAIF    WC          WCZA,GiftCentral Card Issuer (POS),Technology,Technology
PEP CELL 4644 CENTURIO  GP          GPZA,GiftCentral Card Issuer (POS),Technology,Technology
Clicks Midrand          JHB         GPZA,GiftCentral Card Issuer (POS),Pharmacy,Pharmacy
Ackermans Connect Vosl  GP          GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
CONSTANTIA MOTORS       PRETORIA    GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
USave Thohoyandou       SB037467    GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Ackermans Soweto Mapon  GP          GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Boxer Spr Polokwane     Polokwane   LPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Dunns Katlehong         GP          GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
PEP CELL 4629 MOKOPANE  LP          LPZA,GiftCentral Card Issuer (POS),Technology,Technology
Shoprite Olievenhoutbo  SB036495    GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
CALTEX THOHOYANDOU      Polokwane   ZAZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Liquor Shop Venda       SB084236    LPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Dunns Diepsloot         GP          GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Ackermans Bloed Straat  GP          GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
PEP CELL 4880 VANDER    GP          GPZA,GiftCentral Card Issuer (POS),Technology,Technology
Ackermans SunnyPark     GP          GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Ackermans Connect Biza  EC          GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Ackermans Alex Mall     JHB         GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Dunns Upington          NC          NCZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Dunns Thembisa          GP          GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Markham Sky City Mall   JHB         GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
PEP 6711 Thohoyandou    LP          LPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
The Fix Thavhani        Thavhani    LPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Nandos Queensburgh      KwaZulu NataKZZA,GiftCentral Card Issuer (POS),Tourism,Tourism
SuperSpar Weststreet    KwaZulu NataKZZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Nandos Colombo 2        KwaZulu NataKZZA,GiftCentral Card Issuer (POS),Tourism,Tourism
EVOLUTION VAPE EASTPOI  Boksburg    ZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Clicks Mall @ REDS      JHB         GPZA,GiftCentral Card Issuer (POS),Pharmacy,Pharmacy
MCD Mall@Reds (0218)    Centurion   GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
L768 - LGT PROMENADE    Mitchell's PWCZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Dischem Liberty Promin  WC          WCZA,GiftCentral Card Issuer (POS),Banking,Banking
PEP HOME 5546 MITCHE    WC          WCZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
DALMANS AUTO PARTS (PT *MITCHELLS PLWCZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Dunns Mthatha Plaza     EC          ECZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Dischem Modderfontein   GP          GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
PEP CELL 4596 JHB DIEP  GP          GPZA,GiftCentral Card Issuer (POS),Technology,Technology
Dischem Newcastle       KZ          KZZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Clicks Midlands Mall    DBN         KZZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
KRISPY KREME - MIDLAND  DURBAN      KZZA,GiftCentral Card Issuer (POS),Tourism,Tourism
PnP Crp Montclair       Montclair   KZZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
KFC KPF TubatseCrossin gLimpopo     LPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
Game Burgersfort        Burgersfort MPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
TotalSports Tubatse     Burgersfort LPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
DEBONAIRS TUBATSE       UN          MPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
Shoprite Diepsloot      SB051019    GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Shoprite Ulundi         SB006632    KZZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Boxer Spr Ulundi        Ulundi      KZZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Checkers Scottsville    SB001608    KZZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Ackermans Con Ladysmit  KZ          KZZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Ackermans LadySmith     KZ          KZZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Shoprite Milnerton      SB001056    WCZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
CHICKEN LICKEN WEST     UN          KZZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
Dischem Victory Park    GP          GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
LiquorShop Vryheid 2    SB059740    KZZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Shoprite Vryheid        SB006640    KZZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Ackermans C Cosmo Mall  JHB         GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
EATFRESH REWARDS CO     LA LUCIA    KZZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Dunns Giyani            LP          LPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Dunns Nqutu             KZ          KZZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Dunns Smith Street      NW          NWZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
CALTEX WESTERING SERVI CPORT ELIZABEECZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
PEP CELL 4730 Alberton  GP          GPZA,GiftCentral Card Issuer (POS),Technology,Technology
Checkers Wonderpark     SB064604    GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
HUB STORE WONDERPARK    AKASIA      GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Markham Wonderpark PTA  JHB         GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
PEP CELL 4446 PHUMUL    GP          GPZA,GiftCentral Card Issuer (POS),Technology,Technology
Ackermans Newtown Junc  GP          GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Dischem Potchefstroom   NW          NWZA,GiftCentral Card Issuer (POS),Tourism,Tourism
GORIMAS USHAKA           DURBAN     KZZA,GiftCentral Card Issuer (POS),Tourism,Tourism
KFC USHAKA              UN          KZZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
Refinery Ushaka         KZ          KZZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Shoprite Gugulethu      SB050885    WCZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
MrPrice Guguletu        CPT         WPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Dunns Boitekong         NW          NWZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
USave Ha Ravele         SB082111    LPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
BK Meyersdal            GP          GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Yoco   *Cafe GMC        Cape Town   WCZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
PnP Crp Canalwalk       Century CityWCZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
The Fix CanalWalk       CPT         WCZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
L527 - LGT CENTURY CIT YCape Town   WPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
COUNTRYWIDE PRESIDENT   JOHANNESBURGGPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
PRESIDENT HYPER KRUGER  JOHANNESBURGGPZA,GiftCentral Card Issuer (POS),Pharmacy,Pharmacy
PresidentLiquor Kruger  SB071277    GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
PnP Fam Pietermaritzbr  PietermrtzbrKZZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Shoprite Diepsloot Wes  SB096558    GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Shoprite Cosmo City M   SB078253    GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Dunns Modjadjiskloo     LP          LPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
NU-SHOP  MIDRAND         MIDRAND     DZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
MIDRAND PHARMACY        MIDRAND     GPZA,GiftCentral Card Issuer (POS),Healthcare,Healthcare
Roots Kaalfontein       Gauteng     GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Ackermans Golden Walk   GP          GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Shoprite GovanMbekiAve  SB006292    ECZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
AckermansC Fourways M   JHB         GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
CONTEMPO TYGERVALLEY 1  CAPETOWN    WCZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Clicks Carlton Centre   JHB         GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
PEP 8727 Carltonville   GP          GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
SheetStreet INNER COUR  CPT         WPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
MONTEXO SPUR            JOHANNESBURGGPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
HI ROLLER BAR           BRYANSTON   GPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
RIBS AND BURGER NICOLW ABRYANSTON   GPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
LS Pimville             SB016008    GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Shoprite Pimville       SB041367    GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
SHELL NEW ROAD          Midrand     ZAZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
Dunns Garankuwa         GP          GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Ackermans Melmoth Shop  KZN         KZZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
PEP CELL 4566 PINETOWN  KZ          KZZA,GiftCentral Card Issuer (POS),Technology,Technology
PEP CELL 4335 ATHLONE   WC          WCZA,GiftCentral Card Issuer (POS),Technology,Technology
PEP CELL 4713 ELIM C    LP          LPZA,GiftCentral Card Issuer (POS),Technology,Technology
Bathu                   JohannesburgGPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
END RESTAURANT    7414  THOHOYANDOU LPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
LiquorShop Lemo Mall    SB017801    FSZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Ackermans C Witbank Do  MP          MPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Hungry Lion Cape Gate   Western CapeWCZA,GiftCentral Card Issuer (POS),Tourism,Tourism
HI-Q GEZINA             Pretoria    ZAZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Yoco   *Cafe            Pretoria    GPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
Spar Mountain View      Gauteng NortGNZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Nandos Pinetown 2       KwaZulu NataKZZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Checkers St Johns       SB002028    KZZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
CALTEX MAIN ROAD MOTOR SDURBAN      KNZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Shoprite Mamaila Mall   SB070297    GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Ackermans Connect Sebo  GP          GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Ackermans C Mafikeng M  NW          NWZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Ackermans Upington      NC          NCZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Spar Ebony Park         Gauteng NortGNZA,GiftCentral Card Issuer (POS),Tourism,Tourism
PnP Fam Busy Corner     Midrand     GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
SASOL WITKOPPEN         JohannesburgZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Ackermans C Acornhoek   MP          MPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
PEP CELL 4487 CARLTONV  GP          GPZA,GiftCentral Card Issuer (POS),Technology,Technology
PEP CELL 4851 WYNBER    WC          WCZA,GiftCentral Card Issuer (POS),Technology,Technology
PnP Crp Rosebank        Rosebank    GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Fresh X Rosebank Mall   SB083793    GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
LiquorShop Rosebank Ma  SB094750    GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
PnP Crp Sea point       Sea Point   WCZA,GiftCentral Card Issuer (POS),Tourism,Tourism
GALITOS BEYERS NAUDE    ROOSEVELT PAGPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
Ackermans Zeerust       NW          NWZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Checkers Century City   SB005204    WCZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Dischem Canal Walk      WC          WCZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
PEP CELL 4440 TZANEE    LP          LPZA,GiftCentral Card Issuer (POS),Technology,Technology
Ackermans C Burgersfor  LP          LPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
WOOLWORTHS              BELVEDERE   CZZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
PEP CELL 4558 SECUNDA   MP          MPZA,GiftCentral Card Issuer (POS),Technology,Technology
CALTEX GABROS           WITBANK     GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
MTN S/C PAVILLION        WESTVILLE   NZA,GiftCentral Card Issuer (POS),Technology,Technology
Checkers SunwardPark    SB036136    GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
FOOD LOVERS MARKET SUN WBOKSBURG    GPZA,GiftCentral Card Issuer (POS),Banking,Banking
Shoprite Mall of Tembi  SB099255    GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
PEP CELL 4841 LUSIKI    EC          ECZA,GiftCentral Card Issuer (POS),Technology,Technology
MrPrice Pinetown        CPT         WPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Markham GoldenWalk      JHB         GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
CHOPPIES GERMISTON 2    Germiston   ZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
LiquorShop Amalinda     SB044349    ECZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Shoprite Amalinda       SB002476    ECZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Dunns The Workshop      KZ          KZZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
SuperSpar Maluti        KwaZulu NataKZZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Checkers Saveway        SB045044    GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Ackermans Pietermaritz  KZN         KZZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
KFC PAVILION            UN          KZZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
NANDOS PAVILION         DURBAN      KNZA,GiftCentral Card Issuer (POS),Tourism,Tourism
PEP CELL 4969 SPRING    GP          GPZA,GiftCentral Card Issuer (POS),Technology,Technology
Ackermans Hluhlwe Ctr   KZ          KZZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Ackermans Con Durban C  KZ          KZZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
PEP CELL 4326 ROODEPOO  GP          GPZA,GiftCentral Card Issuer (POS),Technology,Technology
WILSONS BUTCHERY AMALI NAMALINDA    ECZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
PEP CELL 4648 BELA BEL  LP          LPZA,GiftCentral Card Issuer (POS),Technology,Technology
Pep Cell 4662 Mdantsan  EC          ECZA,GiftCentral Card Issuer (POS),Technology,Technology
PEP CELL 4492 MOKOPA    LP          LPZA,GiftCentral Card Issuer (POS),Technology,Technology
Ackermans Connect Midr  GP          GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Shoprite SouthgateValu  SB058231    GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
LiquorShop Galleria     SB054651    KZZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
CheckersHyper Galleria  SB054677    KZZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
PEP CELL 4716 RANDBU    GP          GPZA,GiftCentral Card Issuer (POS),Technology,Technology
AckermansC Witbank KG   MP          MPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Yoco   *The Bright Col  Cape Town   WCZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
THE POOL TEAM LINMAR    Strand      ZAZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
Liquor Shop Mams Mall   SB060595    GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
PnP Crp Midrand         Midrand     GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Footgear The Boulders   GP          GPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
PnP Clt Vincent Park    East London ECZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Exact Vincent Park Ctr  EC          ECZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Shoprite Jabulani       SB048539    GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
SPICY DEN CRADLESTONE   JOHANNESBURGGPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
PnP Crp Cradlestone Ml  Krugersdorp GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Tops Umlazi Mega City   KwaZulu NataKZZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Checkers Amanzimtoti    SB000979    KZZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
OLLIES - NEWLANDS       AMANZIMTOTI ZNZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Ackermans Giyani Masin  LP          LPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Checkers Oval           SB000262    KZZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
PNA BRYANSTON (COB) -   JOHANNESBURGGPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Ackermans Adderley St   WC          WCZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Zaakirs Takeaways       JohannesburgGPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
Ackermans C The Worksh  KZN         KZZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
SAVE CASH AND CARRY  H  PIETERMARITZKZZA,GiftCentral Card Issuer (POS),Banking,Banking
Ackermans Ermelo Mall   MP          MPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
PEP CELL 4941 DELFT     WC          WCZA,GiftCentral Card Issuer (POS),Technology,Technology
SPUR GERONIMO           George      ZAZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
PEP CELL 4848 TURFLO    LP          LPZA,GiftCentral Card Issuer (POS),Technology,Technology
MRP Eastgate            CPT         WPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
CheckersHyper Eastgate  SB007303    GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
CHICKEN LICKEN GOLDE    UN          GPZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
Truworths 0208          GP          GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Checkers New Market     SB059782    GPZA,GiftCentral Card Issuer (POS),Banking,Banking
PnP Fam Newmarket       Alberton    GPZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
CCN*Monalisa Kafee      Mountain VieGPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Shoprite VanDerWaltStr  SB007010    GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
PEP CELL 4563 THOHOYAN  LP          LPZA,GiftCentral Card Issuer (POS),Technology,Technology
Shoprite Mafikeng       SB000953    NCZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Checkers Ballito Junct  SB034744    GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Game Balito             Durban      ZNZA,GiftCentral Card Issuer (POS),Tourism,Tourism
MTN BALLITO LIFESTYLE   Ballito     ZAZA,GiftCentral Card Issuer (POS),Technology,Technology
SuperSpar Middelburg M  Gauteng SoutGSZA,GiftCentral Card Issuer (POS),Tourism,Tourism
DIE WIT HUIS RESTAURAN  PRETORIA    GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
PEP CELL 4473 BOCHUM    WC          WCZA,GiftCentral Card Issuer (POS),Technology,Technology
Ackermans Connect Jane  LP          LPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
SHARP SHARP SUPERMARKE  Empangeni   ZAZA,GiftCentral Card Issuer (POS),Educational Institutions,Educational Institutions
CHICKEN LICKEN          Empangeni   ZAZA,GiftCentral Card Issuer (POS),Restaurants,Restaurants
PEP CT SABLE SQUARE     CPT         WCZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
PnP Fam Sable Square    Cape Town   WCZA,GiftCentral Card Issuer (POS),Tourism,Tourism
Clicks Jewel City       JHB         GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
PEP HOME 5851 JHB       GP          GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
PEP 7247 Jewel City     GP          GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
Shoprite Maboneng       SB085745    GPZA,GiftCentral Card Issuer (POS),Retail Stores,Retail Stores
PEP CELL 4752 LEBOWA    LP          LPZA,GiftCentral Card Issuer (POS),Technology,Technology
PnP Fam Strubenvale     Springs     GPZA,GiftCentral Card Issuer (POS),Tourism,Tourism
